hour,disturbance_gen,disturbance_size,δ_stab,overspeed,underspeed,end_time,out_of_step,out_of_step_time,nadir,nadir_time
25,pv_Q8_1,1603.0,true,false,false,20.0,false,0.0,49.07385603591978,8.8116666667
25,pv_V1_1,586.0,true,false,false,20.0,false,0.0,49.62761501165534,8.2116666667
25,wtg_N3_1,502.0,true,false,false,20.0,false,0.0,49.602484325537986,1.9016666667
25,wtg_Q9_1,757.0,true,false,false,20.0,false,0.0,48.956011173456325,3.205
25,wtg_V3_1,628.0,true,false,false,20.0,false,0.0,49.58863619037041,7.7116666667
25,wtg_V4_1,524.0,true,false,false,20.0,false,0.0,49.651605981001225,7.7716666667
25,wtg_V5_1,759.0,true,false,false,20.0,false,0.0,49.43303676045389,7.9516666667
26,gen_1149,585.0,true,false,false,20.0,false,0.0,49.54883212488355,8.8516666667
26,pv_N3_1,440.0,true,false,false,20.0,false,0.0,49.64158703354485,8.5716666667
26,pv_Q7_1,647.0,true,false,false,20.0,false,0.0,49.33731925576999,10.0416666667
26,pv_Q8_1,1636.0,true,false,false,20.0,false,0.0,48.86815408702709,9.4916666667
26,pv_V1_1,585.0,true,false,false,20.0,false,0.0,49.53750168507789,8.7016666667
26,pv_V3_1,507.0,true,false,false,20.0,false,0.0,49.597677020871316,8.4816666667
26,wtg_N3_1,461.0,true,false,false,20.0,false,0.0,49.58725397752365,2.2016666667
26,wtg_Q9_1,780.0,true,false,false,20.0,false,0.0,49.0901222966004,3.04
26,wtg_V3_1,488.0,true,false,false,20.0,false,0.0,49.59965777774905,8.1816666667
26,wtg_V5_1,615.0,true,false,false,20.0,false,0.0,49.39524115447922,8.5616666667
27,gen_1149,603.0,true,false,false,20.0,false,0.0,49.62735985197838,8.2116666667
27,pv_N3_1,485.0,true,false,false,20.0,false,0.0,49.681070843687166,2.4616666667
27,pv_Q7_1,633.0,true,false,false,20.0,false,0.0,49.50243631944403,9.0916666667
27,pv_Q8_1,1601.0,true,false,false,20.0,false,0.0,49.085013773377376,8.7416666667
27,pv_V1_1,582.0,true,false,false,20.0,false,0.0,49.639134368787936,8.1916666667
27,wtg_N3_1,444.0,true,false,false,20.0,false,0.0,49.64070342279811,1.8816666667
27,wtg_Q9_1,759.0,true,false,false,20.0,false,0.0,48.95801143549164,3.2683333333
27,wtg_V3_1,709.0,true,false,false,20.0,false,0.0,49.555813968822115,7.7216666667
27,wtg_V4_1,778.0,true,false,false,20.0,false,0.0,49.5260103075347,7.8016666667
27,wtg_V5_1,575.0,true,false,false,20.0,false,0.0,49.53741178508812,7.9116666667
28,gen_1149,605.0,true,false,false,20.0,false,0.0,49.61397197322569,2.1116666667
28,pv_N3_1,1075.0,true,false,false,20.0,false,0.0,49.13939353490467,2.0116666667
28,pv_Q7_1,607.0,true,false,false,20.0,false,0.0,49.51912842801306,8.7316666667
28,pv_Q8_1,1524.0,true,false,false,20.0,false,0.0,49.13252247348447,8.4216666667
28,pv_V1_1,580.0,true,false,false,20.0,false,0.0,49.640786382154104,7.8016666667
28,pv_V3_1,549.0,true,false,false,20.0,false,0.0,49.659578163894075,7.6116666667
28,pv_V5_1,445.0,true,false,false,20.0,false,0.0,49.71750935773049,7.8516666667
28,wtg_Q9_1,727.0,true,false,false,20.0,false,0.0,48.90494234570454,3.0416666667
28,wtg_V3_1,485.0,true,false,false,20.0,false,0.0,49.644646648984356,2.0516666667
28,wtg_V5_1,565.0,true,false,false,20.0,false,0.0,49.52137566084459,2.2116666667
29,gen_1149,560.0,true,false,false,20.0,false,0.0,49.58038084029808,7.9716666667
29,pv_N3_1,1037.0,true,false,false,20.0,false,0.0,49.07230490103669,2.2616666667
29,pv_Q7_1,636.0,true,false,false,20.0,false,0.0,49.37067347841074,9.3016666667
29,pv_Q8_1,1597.0,true,false,false,20.0,false,0.0,48.938989862744904,8.9716666667
29,pv_V1_1,558.0,true,false,false,20.0,false,0.0,49.58568321076456,8.2316666667
29,pv_V3_1,785.0,true,false,false,20.0,false,0.0,49.45036694158174,8.0916666667
29,wtg_Q9_1,757.0,true,false,false,20.0,false,0.0,48.99331724296186,2.51
29,wtg_V3_1,548.0,true,false,false,20.0,false,0.0,49.55787889019685,2.2216666667
29,wtg_V4_1,493.0,true,false,false,20.0,false,0.0,49.608434787199464,2.2416666667
29,wtg_V5_1,524.0,true,false,false,20.0,false,0.0,49.47624038823514,2.3816666667
30,gen_1149,538.0,true,false,false,20.0,false,0.0,49.59545681341359,7.8316666667
30,pv_N3_1,1009.0,true,false,false,20.0,false,0.0,49.09293690520906,2.1916666667
30,pv_Q7_1,615.0,true,false,false,20.0,false,0.0,49.39305730032306,9.1316666667
